index,activity,chemical,category,moa,bigg,exchange,model_simulation_0.05,model_simulation_0.1,model_simulation_0.2
PM03_G11,True,d-Amino-N-Valeric acid,nitrogen,"N-Source, other",5aptn,EX_5aptn_e,,,
PM03_G12,True,a-Amino-N-Valeric acid,nitrogen,"N-Source, other",#,EX_MNXM4024_e,,,
PM03_H01,True,Ala-Asp,nitrogen,"N-Source, peptide",ala_L_asp__L,EX_ala_L_asp__L_e,,,
PM03_H02,True,Ala-Gln,nitrogen,"N-Source, peptide",ala_L_gln__L,EX_ala_L_gln__L_e,,,
PM03_H03,True,Ala-Glu,nitrogen,"N-Source, peptide",ala_L_gln__L,EX_ala_L_glu__L_e,,,
PM03_H04,True,Ala-Gly,nitrogen,"N-Source, peptide",ala_L_gly__L,EX_ala_L_gly__L_e,,,
PM03_H05,True,Ala-His,nitrogen,"N-Source, peptide",ala_L_his__L,EX_ala_L_his__L_e,,,
PM03_H06,True,Ala-Leu,nitrogen,"N-Source, peptide",ala_L_leu__L,EX_ala_L_leu__L_e,,,
PM03_H07,True,Ala-Thr,nitrogen,"N-Source, peptide",ala_L_thr__L,EX_ala_L_thr__L_e,,,
PM03_H08,True,Gly-Asn,nitrogen,"N-Source, peptide",gly_asn__L,EX_gly_asn__L_e,,,
PM03_H09,True,Gly-Gln,nitrogen,"N-Source, peptide",gly_gln__L,EX_gly_gln__L_e,,,
PM03_H10,True,Gly-Glu,nitrogen,"N-Source, peptide",gly_glu__L,EX_gly_glu__L_e,,,
PM03_H11,True,Gly-Met,nitrogen,"N-Source, peptide",gly_met__L,EX_gly_met__L_e,,,
PM03_H12,True,Met-Ala,nitrogen,"N-Source, peptide",met_ala__L_e,EX_met_ala__L_e,,,
PM04_A01,False,Negative Control,phosphate & sulphur,"P-Source, Negative control",#,#,,,
PM04_A02,True,Phosphate,phosphate & sulphur,"P-Source, inorganic",pi,EX_pi_e,True,True,True
PM04_A03,True,Pyrophosphate,phosphate & sulphur,"P-Source, inorganic",ppi,EX_ppi_e,,,
PM04_A04,True,Trimetaphosphate,phosphate & sulphur,"P-Source, inorganic",tmp,EX_tmp_e,,,
PM04_A05,True,Tripolyphosphate,phosphate & sulphur,"P-Source, inorganic",pppi,EX_pppi_e,,,
PM04_A06,False,Triethyl Phosphate,phosphate & sulphur,"P-Source, organic",#,#,,,
PM04_A07,False,Hypophosphite,phosphate & sulphur,"P-Source, inorganic",#,#,,,
PM04_A08,True,Adenosine 2`-Monophosphate,phosphate & sulphur,"P-Source, organic",amp2p,EX_amp2p_e,,,
PM04_A09,True,Adenosine 3`-Monophosphate,phosphate & sulphur,"P-Source, organic",3amp,EX_3amp_e,True,True,True
PM04_A10,True,Adenosine 5`-Monophosphate,phosphate & sulphur,"P-Source, organic",amp,EX_amp_e,True,True,True
PM04_A11,True,"Adenosine 2`,3`-Cyclic Monophosphate",phosphate & sulphur,"P-Source, organic",23camp,EX_23camp_e,True,True,True
PM04_A12,True,"Adenosine 3`,5`-Cyclic Monophosphate",phosphate & sulphur,"P-Source, organic",camp,EX_camp_e,,,
PM04_B01,False,Thiophosphate,phosphate & sulphur,"P-Source, inorganic",#,#,,,
PM04_B02,False,Dithiophosphate,phosphate & sulphur,"P-Source, inorganic",#,#,,,
PM04_B03,True,DL-a-Glycerol Phosphate,phosphate & sulphur,"P-Source, organic",glyc3p,EX_glyc3p_e,True,True,True
PM04_B04,True,b-Glycerol Phosphate,phosphate & sulphur,"P-Source, organic",glyc2p,EX_glyc2p_e,,,
PM04_B05,True,Carbamyl Phosphate,phosphate & sulphur,"P-Source, organic",cbp,EX_cbp_e,,,
PM04_B06,True,D-2-Phospho-Glyceric acid,phosphate & sulphur,"P-Source, organic",2pg,EX_2pg_e,,,
PM04_B07,True,D-3-Phospho-Glyceric acid,phosphate & sulphur,"P-Source, organic",3pg,EX_3pg_e,,,
PM04_B08,True,Guanosine 2`-Monophosphate,phosphate & sulphur,"P-Source, organic",#,#,,,
PM04_B09,True,Guanosine 3`-Monophosphate,phosphate & sulphur,"P-Source, organic",3gmp,EX_3gmp_e,True,True,True
PM04_B10,True,Guanosine 5`-Monophosphate,phosphate & sulphur,"P-Source, organic",gmp,EX_gmp_e,True,True,True
PM04_B11,True,"Guanosine 2`,3`-Cyclic Monophosphate",phosphate & sulphur,"P-Source, organic",23cgmp,EX_23cgmp_e,True,True,True
PM04_B12,True,"Guanosine 3`,5`-Cyclic Monophosphate",phosphate & sulphur,"P-Source, organic",35cgmp,EX_35cgmp_e,,,
PM04_C01,True,Phosphoenol Pyruvate,phosphate & sulphur,"P-Source, organic",pep,EX_pep_e,,,
PM04_C02,True,Phospho-Glycolic acid,phosphate & sulphur,"P-Source, organic",2pglyc,EX_2pglyc_e,,,
PM04_C03,True,D-Glucose-1-Phosphate,phosphate & sulphur,"P-Source, organic",g1p,EX_g1p_e,,,
PM04_C04,True,D-Glucose-6-Phosphate,phosphate & sulphur,"P-Source, organic",g6p,EX_g6p_e,,,
PM04_C05,False,2-Deoxy-D-Glucose 6-Phosphate,phosphate & sulphur,"P-Source, organic",2doxg6p,EX_2doxg6p_e,,,
PM04_C06,True,D-Glucosamine-6-Phosphate,phosphate & sulphur,"P-Source, organic",gam6p,EX_gam6p_e,,,
PM04_C07,True,6-Phospho-Gluconic acid,phosphate & sulphur,"P-Source, organic",6pgc,EX_6pgc_e,,,
PM04_C08,True,Cytidine 2`-Monophosphate,phosphate & sulphur,"P-Source, organic",#,EX_MNXM11237_e,,,
PM04_C09,False,Cytidine 3`-Monophosphate,phosphate & sulphur,"P-Source, organic",3cmp,EX_3cmp_e,True,True,True
PM04_C10,True,Cytidine 5`-Monophosphate,phosphate & sulphur,"P-Source, organic",cmp,EX_cmp_e,True,True,True
PM04_C11,True,"Cytidine 2`,3`-Cyclic Monophosphate",phosphate & sulphur,"P-Source, organic",23ccmp,EX_23ccmp_e,True,True,True
PM04_C12,True,"Cytidine 3`,5`-Cyclic Monophosphate",phosphate & sulphur,"P-Source, organic",35cgmp,EX_35cgmp_e,,,
PM04_D01,True,D-Mannose-1-Phosphate,phosphate & sulphur,"P-Source, organic",man1p,EX_man1p_e,,,
PM04_D02,True,D-Mannose-6-Phosphate,phosphate & sulphur,"P-Source, organic",man6p,EX_man6p_e,,,
PM04_D03,True,Cysteamine-S-Phosphate,phosphate & sulphur,"P-Source, organic",#,#,,,
PM04_D04,True,Phospho-L-Arginine,phosphate & sulphur,"P-Source, organic",argp,EX_argp_e,,,
PM04_D05,True,O-Phospho-D-Serine,phosphate & sulphur,"P-Source, organic",pser__D,EX_pser__D_e,,,
PM04_D06,True,O-Phospho-L-Serine,phosphate & sulphur,"P-Source, organic",pser__L,EX_pser__L_e,,,
PM04_D07,True,O-Phospho-L-Threonine,phosphate & sulphur,"P-Source, organic",thrp,EX_thrp_e,,,
PM04_D08,True,Uridine 2`-Monophosphate,phosphate & sulphur,"P-Source, organic",#,EX_MNXM13238_e,,,
PM04_D09,True,Uridine 3`-Monophosphate,phosphate & sulphur,"P-Source, organic",3ump,EX_3ump_e,True,True,True
PM04_D10,True,Uridine 5`-Monophosphate,phosphate & sulphur,"P-Source, organic",ump,EX_ump_e,True,True,True
PM04_D11,True,"Uridine 2`,3`-Cyclic Monophosphate",phosphate & sulphur,"P-Source, organic",23cump,EX_23cump_e,True,True,True
PM04_D12,True,"Uridine 3`,5`-Cyclic Monophosphate",phosphate & sulphur,"P-Source, organic",#,#,,,
PM04_E01,True,O-Phospho-D-Tyrosine,phosphate & sulphur,"P-Source, organic",tyrp,EX_tyrp_e,,,
PM04_E02,True,O-Phospho-L-Tyrosine,phosphate & sulphur,"P-Source, organic",tyrp,EX_tyrp_e,,,
PM04_E03,True,Phosphocreatine,phosphate & sulphur,"P-Source, organic",pcreat,EX_pcreat_e,,,
PM04_E04,True,Phosphoryl Choline,phosphate & sulphur,"P-Source, organic",cholp,EX_cholp_e,,,
PM04_E05,True,O-Phosphoryl-Ethanolamine,phosphate & sulphur,"P-Source, organic",ethamp,EX_ethamp_e,,,
PM04_E06,False,Phosphono Acetic acid,phosphate & sulphur,"P-Source, organic",ppac,EX_ppac_e,,,
PM04_E07,False,2-Aminoethyl Phosphonic acid,phosphate & sulphur,"P-Source, organic",2ameph,EX_2ameph_e,,,
PM04_E08,False,Methylene Diphosphonic acid,phosphate & sulphur,"P-Source, organic",#,#,,,
PM04_E09,True,Thymidine 3`-Monophosphate,phosphate & sulphur,"P-Source, organic",#,#,,,
PM04_E10,True,Thymidine 5`-Monophosphate,phosphate & sulphur,"P-Source, organic",dtmp,EX_dtmp_e,True,True,True
PM04_E11,True,Inositol Hexaphosphate,phosphate & sulphur,"P-Source, organic",minohp,EX_minohp_e,,,
PM04_E12,True,"Thymidine 3`,5`-Cyclic Monophosphate",phosphate & sulphur,"P-Source, organic",#,#,,,
PM04_F01,False,Negative Control,phosphate & sulphur,"S-Source, Negative control",#,#,,,
PM04_F02,False,Sulfate,phosphate & sulphur,"S-Source, inorganic",so4,EX_so4_e,True,True,True
PM04_F03,False,Thiosulfate,phosphate & sulphur,"S-Source, inorganic",tsul,EX_tsul_e,,,
PM04_F04,False,Tetrathionate,phosphate & sulphur,"S-Source, inorganic",tet,EX_tet_e,,,
PM04_F05,False,Thiophosphate,phosphate & sulphur,"S-Source, inorganic",#,#,,,
PM04_F06,False,Dithiophosphate,phosphate & sulphur,"S-Source, inorganic",#,#,,,
PM04_F07,False,L-Cysteine,phosphate & sulphur,"S-Source, organic",cys__L,EX_cys__L_e,False,False,False
PM04_F08,False,D-Cysteine,phosphate & sulphur,"S-Source, organic",cys__D,EX_cys__D_e,,,
PM04_F09,False,Cys-Gly,phosphate & sulphur,"S-Source, organic",cys_gly__L,EX_cys_gly__L_e,,,
PM04_F10,False,L-Cysteic acid,phosphate & sulphur,"S-Source, organic",Lcyst,EX_Lcyst_e,,,
PM04_F11,False,Cysteamine,phosphate & sulphur,"S-Source, organic",cysam,EX_cysam_e,,,
PM04_F12,False,L-Cysteine Sulfinic acid,phosphate & sulphur,"S-Source, organic",3sala,EX_3sala_e,,,
PM04_G01,False,N-Acetyl-L-Cysteine,phosphate & sulphur,"S-Source, organic",CE1310,EX_CE1310_e,,,
PM04_G02,False,S-Methyl-L-Cysteine,phosphate & sulphur,"S-Source, organic",#,#,,,
PM04_G03,False,Cystathionine,phosphate & sulphur,"S-Source, organic",cyst__L,EX_cyst__L_e,,,
PM04_G04,False,Lanthionine,phosphate & sulphur,"S-Source, organic",lanth,EX_lanth_e,,,
PM04_G05,False,Glutathione,phosphate & sulphur,"S-Source, organic",gthrd,EX_gthrd_e,,,
PM04_G06,False,DL-Ethionine,phosphate & sulphur,"S-Source, organic",#,EX_MNXM17589_e,,,
PM04_G07,False,L-Methionine,phosphate & sulphur,"S-Source, organic",met__L,EX_met__L_e,False,False,False
PM04_G08,False,D-Methionine,phosphate & sulphur,"S-Source, organic",met__D,EX_met__D_e,,,
PM04_G09,False,Gly-Met,phosphate & sulphur,"S-Source, organic",gly_met__L,EX_gly_met__L_e,,,
PM04_G10,False,"N-Acetyl-D,L-Methionine",phosphate & sulphur,"S-Source, organic",C02712,EX_C02712_e,,,
PM04_G11,False,L-Methionine Sulfoxide,phosphate & sulphur,"S-Source, organic",metsox_S__L,EX_metsox_S__L_e,,,
PM04_G12,False,L-Methionine Sulfone,phosphate & sulphur,"S-Source, organic",#,#,,,
PM04_H01,False,L-Djenkolic acid,phosphate & sulphur,"S-Source, organic",djenk,EX_djenk_e,,,
PM04_H02,False,Thiourea,phosphate & sulphur,"S-Source, organic",#,#,,,
PM04_H03,False,1-Thio-b-D-Glucose,phosphate & sulphur,"S-Source, organic",#,#,,,
PM04_H04,False,DL-Lipoamide,phosphate & sulphur,"S-Source, organic",lpam,EX_lpam_e,,,
PM04_H05,False,Taurocholic acid,phosphate & sulphur,"S-Source, organic",tchola,EX_tchola_e,,,
PM04_H06,False,Taurine,phosphate & sulphur,"S-Source, organic",taur,EX_taur_e,False,False,False
PM04_H07,False,Hypotaurine,phosphate & sulphur,"S-Source, organic",hyptaur,EX_hyptaur_e,,,
PM04_H08,False,p-Aminobenzene Sulfonic acid,phosphate & sulphur,"S-Source, organic",4abz,EX_4abz_e,,,
PM04_H09,False,Butane Sulfonic acid,phosphate & sulphur,"S-Source, organic",butso3,EX_butso3_e,,,
PM04_H10,False,2-Hydroxyethane Sulfonic acid,phosphate & sulphur,"S-Source, organic",isetac,EX_isetac_e,,,
PM04_H11,False,Methane Sulfonic acid,phosphate & sulphur,"S-Source, organic",mso3,EX_mso3_e,,,
PM04_H12,False,Tetramethylene Sulfone,phosphate & sulphur,"S-Source, organic",#,#,,,
