#plate_id	well_id	chemical	category	moa	co_id	avg activity
PM04	E03	Phosphocreatine	phosphate & sulphur	P-Source, organic	C02305	6.666666666666667
PM04	E04	Phosphoryl Choline	phosphate & sulphur	P-Source, organic	C00588	7.0
PM04	E05	O-Phosphoryl-Ethanolamine	phosphate & sulphur	P-Source, organic	C00346	4.0
PM04	E06	Phosphono Acetic acid	phosphate & sulphur	P-Source, organic	C05682	0.0
PM04	E07	2-Aminoethyl Phosphonic acid	phosphate & sulphur	P-Source, organic	C03557	0.0
PM04	E08	Methylene Diphosphonic acid	phosphate & sulphur	P-Source, organic		0.0
PM04	E09	Thymidine 3`-Monophosphate	phosphate & sulphur	P-Source, organic		7.0
PM04	E10	Thymidine 5`-Monophosphate	phosphate & sulphur	P-Source, organic	C00364	7.0
PM04	E11	Inositol Hexaphosphate	phosphate & sulphur	P-Source, organic	C01204	5.0
PM04	E12	Thymidine 3`,5`-Cyclic Monophosphate	phosphate & sulphur	P-Source, organic		5.0
PM04	F01	Negative Control	phosphate & sulphur	S-Source, Negative control		0.0
PM04	F02	Sulfate	phosphate & sulphur	S-Source, inorganic	C00059	0.0
PM04	F03	Thiosulfate	phosphate & sulphur	S-Source, inorganic	C00320	0.0
PM04	F04	Tetrathionate	phosphate & sulphur	S-Source, inorganic	C02084	0.0
PM04	F05	Thiophosphate	phosphate & sulphur	S-Source, inorganic		0.0
PM04	F06	Dithiophosphate	phosphate & sulphur	S-Source, inorganic		0.0
PM04	F07	L-Cysteine	phosphate & sulphur	S-Source, organic	C00097	0.0
PM04	F08	D-Cysteine	phosphate & sulphur	S-Source, organic	C00793	0.0
PM04	F09	Cys-Gly	phosphate & sulphur	S-Source, organic		0.0
PM04	F10	L-Cysteic acid	phosphate & sulphur	S-Source, organic	C00506	0.3333333333333333
PM04	F11	Cysteamine	phosphate & sulphur	S-Source, organic	C01678	0.0
PM04	F12	L-Cysteine Sulfinic acid	phosphate & sulphur	S-Source, organic	C00606	0.0
PM04	G01	N-Acetyl-L-Cysteine	phosphate & sulphur	S-Source, organic	C06809	0.0
PM04	G02	S-Methyl-L-Cysteine	phosphate & sulphur	S-Source, organic	C03540	0.0
PM04	G03	Cystathionine	phosphate & sulphur	S-Source, organic	C00542	0.0
PM04	G04	Lanthionine	phosphate & sulphur	S-Source, organic		0.0
PM04	G05	Glutathione	phosphate & sulphur	S-Source, organic	C00051	0.0
PM04	G06	DL-Ethionine	phosphate & sulphur	S-Source, organic	C11227	0.0
PM04	G07	L-Methionine	phosphate & sulphur	S-Source, organic	C00073	0.0
PM04	G08	D-Methionine	phosphate & sulphur	S-Source, organic	C00855	0.0
PM04	G09	Gly-Met	phosphate & sulphur	S-Source, organic		0.0
PM04	G10	N-Acetyl-D,L-Methionine	phosphate & sulphur	S-Source, organic	C02712	0.0
PM04	G11	L-Methionine Sulfoxide	phosphate & sulphur	S-Source, organic	C02989	0.0
PM04	G12	L-Methionine Sulfone	phosphate & sulphur	S-Source, organic		0.0
PM04	H01	L-Djenkolic acid	phosphate & sulphur	S-Source, organic	C08275	0.0
PM04	H02	Thiourea	phosphate & sulphur	S-Source, organic	C14415	0.0
PM04	H03	1-Thio-b-D-Glucose	phosphate & sulphur	S-Source, organic		0.0
PM04	H04	DL-Lipoamide	phosphate & sulphur	S-Source, organic	C00248	0.0
PM04	H05	Taurocholic acid	phosphate & sulphur	S-Source, organic	C05122	0.0
PM04	H06	Taurine	phosphate & sulphur	S-Source, organic	C00245	0.0
PM04	H07	Hypotaurine	phosphate & sulphur	S-Source, organic	C00519	0.0
PM04	H08	p-Aminobenzene Sulfonic acid	phosphate & sulphur	S-Source, organic	C00568	0.0
PM04	H09	Butane Sulfonic acid	phosphate & sulphur	S-Source, organic		0.0
PM04	H10	2-Hydroxyethane Sulfonic acid	phosphate & sulphur	S-Source, organic	C05123	0.0
PM04	H11	Methane Sulfonic acid	phosphate & sulphur	S-Source, organic	C11145	0.0
PM04	H12	Tetramethylene Sulfone	phosphate & sulphur	S-Source, organic		0.0
